product_id,product_name,main_category,sub_category,cluster_id,segment_name,cluster_method,cluster_config,is_anomaly,market_spread,market_spread_share,avg_price_raw,price_rank_mean,price_rank_std,rating_presence,rating_imputed,mean_rating,mean_rating_count,log_review_count,engagement_score,top_seller_share,promoted_share,discount_share,limited_share,tag__new_product,tag__new_lower_price,tag__discontinued,volume_est,aspect_ratio,cat_entropy,cat_max_share,online_sellable_share,listing_rows,cat__storage_organisation,cat__kitchenware_tablewar,cat__beds_mattresses,cat__decoration,cat__kitchen_appliances,cat__storage_furniture,cat__sofas_armchairs,cat__lighting,cat__other
29603707,ENHET,bathroom-products,bathroom-systems,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,24,0.5217391304347826,22248.025416666667,0.8511195043270227,0.020351201329879217,0.0,4.6,,,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.0,2.1889763434806877,-0.0,1.0,0.7916666666666666,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29603774,ENHET,bathroom-products,bathroom-systems,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,6,0.13043478260869565,1026.7233333333334,0.9288643801936791,0.013719332806010271,0.0,4.6,,,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1578960.0,4.186046414277991,-0.0,1.0,0.3333333333333333,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29603972,TAGGTOFS / HAVSDJUP,lighting,lamps,0,Community Favourites,HDBSCAN,"mcs=320,ms=20",0,43,0.9347826086956522,2241.592558139535,0.48189414126154767,0.034249994635135665,0.4883720930232558,3.880952380952381,3.880952380952381,9.619047619047619,2.362649333736696,1.153852000196991,0.0,1.0,0.0,0.0,0.6744186046511628,0.023255813953488372,0.0,0.0,0.0,0.5920726008913407,0.7209302325581395,0.9767441860465116,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209302325581395,0.2790697674418605
29604052,KAPPELAND / HAVSDJUP,lighting,lamps,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,16,0.34782608695652173,1255.4243749999998,0.535098744073659,0.026305266355022214,0.3125,4.8,4.8,9.0,2.302585092994046,0.7195578415606394,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.6615632381579821,0.625,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375
29604066,MANNARP,sofas-armchairs,sofas,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,16,0.34782608695652173,53297.75,0.9334942866353861,0.015536923962876016,0.375,2.3,2.3,3.0,1.3862943611198906,0.5198603854199589,0.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.6210863745552451,0.6875,0.875,16,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.3125
29604090,MANNARP,sofas-armchairs,sofas,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,16,0.34782608695652173,284330.8125,0.9695728169439112,0.01246730671920176,0.0,4.6,,,0.0,0.0,0.0,1.0,0.0,0.0,0.6875,0.0625,0.0,0.0,0.0,0.6615632381579821,0.625,0.875,16,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.625
29604127,METOD,kitchen-appliances,kitchen-cabinets,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,4,0.08695652173913043,6815.25,0.7461372445565094,0.048455549294291016,0.0,4.6,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3333333111111116,0.6931471805599453,0.5,1.0,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
29604250,METOD,kitchen-appliances,kitchens,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,1,0.021739130434782608,14150.0,0.840618191721133,0.0,1.0,3.0,3.0,1.0,0.6931471805599453,0.6931471805599453,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29604311,METOD / MAXIMERA,cocina,sistemas-cocina,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,1,0.021739130434782608,166000.0,0.7848675545148543,0.0,1.0,3.0,3.0,3.0,1.3862943611198906,1.3862943611198906,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999833333336,-0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29604373,METOD / MAXIMERA,kitchen-appliances,kitchen-cabinets,-1,Outliers / Noise,HDBSCAN,"mcs=320,ms=20",0,2,0.043478260869565216,5525.0,0.7289799762764722,0.011602795615341738,0.0,4.6,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999833333336,-0.0,1.0,0.5,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
